ID,School_Name,System_ID,Type,School_Phone,Enrollment_Count,Teacher_Count,Teachers_Less_Than_1_Year_Experience_(%),Teachers_Between_1_and_10_Years_Experience_(%),Teachers_Between_11_and_20_Years_Experience_(%),Teachers Between_21_and_30_Years_Experience_(%),Teachers_Greater_Than_30_Years_Experience_(%)
773,DAC (Dodge County Achievement Center),645,High School,478.374.4756,43.0,3.0,0.0,67.0,0.0,33.0,0.0
774,Dooly County Elementary School,646,Elementary School,229.645.3421,555.0,35.0,9.0,9.0,26.0,54.0,3.0
775,Dooly County High School,646,High School,229.268.8181,329.0,25.0,4.0,36.0,32.0,20.0,8.0
776,Dooly County Middle School,646,Middle School,229.645.3421,265.0,21.0,19.0,29.0,33.0,10.0,10.0
777,Dooly County Prep Academy,646,High School,229.268.7751,8.0,2.0,0.0,50.0,0.0,50.0,0.0
778,Albany Middle School,647,Middle School,229.431.3325,982.0,61.0,0.0,61.0,20.0,15.0,5.0
779,Live Oak Elementary School,647,Elementary School,229.431.1209,662.0,41.0,2.0,49.0,34.0,10.0,5.0
780,Robert A. Cross Middle Magnet,647,Middle School,229.431.3362,673.0,40.0,0.0,33.0,33.0,33.0,3.0
781,Robert H Harvey Elementary School,647,Elementary School,229.431.3367,581.0,41.0,0.0,63.0,17.0,20.0,0.0
782,Radium Springs Middle School,647,Middle School,229.431.3346,816.0,49.0,0.0,53.0,29.0,14.0,4.0
783,Lamar Reese School of the Arts,647,Elementary School,229.431.3495,485.0,30.0,0.0,47.0,30.0,20.0,3.0
784,Lincoln Elementary Magnet School,647,Elementary School,229.431.3373,587.0,32.0,0.0,28.0,31.0,38.0,3.0
785,Alice Coachman Elementary School,647,Elementary School,229.431.3488,472.0,31.0,0.0,55.0,16.0,23.0,7.0
786,Martin Luther King Jr. Elementary School,647,Elementary School,229.438.3502,484.0,38.0,0.0,58.0,21.0,18.0,3.0
787,Monroe High School,647,High School,229.431.3316,1089.0,66.0,0.0,59.0,20.0,17.0,5.0
788,Dougherty Comprehensive High School,647,High School,229.431.3310,1139.0,68.0,0.0,52.0,24.0,18.0,7.0
789,Morningside Elementary School,647,Elementary School,229.431.3387,428.0,27.0,0.0,52.0,26.0,19.0,4.0
790,Northside Elementary School,647,Elementary School,229.431.3390,346.0,26.0,0.0,50.0,27.0,19.0,4.0
791,Turner Elementary School,647,Elementary School,229.431.3406,477.0,35.0,3.0,49.0,26.0,20.0,3.0
792,Lake Park Elementary School,647,Elementary School,229.431.3370,518.0,32.0,0.0,31.0,44.0,25.0,0.0
793,Merry Acres Middle School,647,Middle School,229.431.3338,685.0,49.0,0.0,51.0,31.0,10.0,8.0
794,Sherwood Acres Elementary School,647,Elementary School,229.431.3397,628.0,46.0,0.0,39.0,33.0,28.0,0.0
795,Westover High School,647,High School,229.431.3320,1357.0,65.0,0.0,40.0,32.0,25.0,3.0
796,International Studies Elementary Charter School,647,Elementary School,229.431.3384,400.0,32.0,0.0,50.0,28.0,16.0,6.0
797,Radium Springs Elementary School,647,Elementary School,229.431.3395,541.0,38.0,0.0,53.0,32.0,11.0,5.0
798,West Town Elementary School,647,Elementary School,229.431.3409,431.0,26.0,0.0,23.0,50.0,19.0,8.0
799,Chapel Hill High School,648,High School,770.651.6200,1445.0,80.0,3.0,46.0,29.0,20.0,3.0
800,Yeager Middle School,648,Middle School,770.651.5600,569.0,38.0,5.0,29.0,50.0,16.0,0.0
801,North Douglas Elementary School,648,Elementary School,770.651.4800,593.0,45.0,7.0,31.0,47.0,16.0,0.0
802,Bill Arp Elementary School,648,Elementary School,770.651.3200,681.0,43.0,0.0,28.0,37.0,28.0,7.0
803,Factory Shoals Middle School,648,Middle School,770.651.5800,865.0,52.0,8.0,27.0,54.0,10.0,2.0
804,Mason Creek Elementary School,648,Elementary School,770.651.4900,524.0,47.0,2.0,45.0,23.0,28.0,2.0
805,Mason Creek Middle School,648,Middle School,770.651.2500,860.0,56.0,7.0,27.0,48.0,16.0,2.0
806,Lithia Springs Comprehensive High School,648,High School,770.651.6700,1551.0,92.0,7.0,25.0,57.0,11.0,1.0
807,Arbor Station Elementary School,648,Elementary School,770.651.3000,664.0,40.0,3.0,48.0,30.0,18.0,3.0
808,Fairplay Middle School,648,Middle School,770.651.5300,496.0,31.0,3.0,16.0,55.0,26.0,0.0
809,Dorsett Shoals Elementary School,648,Elementary School,770.651.3700,460.0,34.0,15.0,21.0,38.0,27.0,0.0
810,Alexander High School,648,High School,770.651.6000,1828.0,103.0,2.0,18.0,50.0,24.0,7.0
811,Chestnut Log Middle School,648,Middle School,770.651.5100,740.0,50.0,18.0,32.0,30.0,16.0,2.0
812,South Douglas Elementary School,648,Elementary School,770.651.4500,588.0,35.0,0.0,23.0,26.0,49.0,3.0
813,Bright Star Elementary School,648,Elementary School,770.651.3400,468.0,33.0,12.0,33.0,33.0,21.0,0.0
814,Holly Springs Elementary,648,Elementary School,770.651.4000,575.0,38.0,5.0,26.0,47.0,21.0,0.0
815,New Manchester Elementary School,648,Elementary School,770.651.4400,828.0,55.0,15.0,31.0,46.0,7.0,2.0
816,Chapel Hill Elementary School,648,Elementary School,770.651.3600,804.0,54.0,11.0,26.0,35.0,19.0,9.0
817,New Manchester High School,648,High School,770.651.2700,1633.0,99.0,3.0,42.0,49.0,6.0,0.0
818,Factory Shoals Elementary School,648,Elementary School,770.651.3900,659.0,51.0,16.0,49.0,31.0,4.0,0.0
819,Sweetwater Elementary School,648,Elementary School,770.651.4600,490.0,38.0,3.0,42.0,45.0,5.0,5.0
820,Mirror Lake Elementary School,648,Elementary School,770.651.4300,404.0,35.0,3.0,26.0,54.0,14.0,3.0
821,Burnett Elementary School,648,Elementary School,770.651.3500,416.0,32.0,3.0,53.0,25.0,16.0,3.0
822,Brighten Academy,648,Elementary School,770.615.3680,802.0,46.0,9.0,39.0,39.0,11.0,2.0
823,Eastside Elementary School,648,Elementary School,770.651.3800,482.0,37.0,22.0,27.0,35.0,14.0,3.0
824,Youth Villages at Inner Harbour,648,High School,770.942.2391,57.0,16.0,0.0,44.0,19.0,38.0,0.0
825,Winston Elementary School,648,Elementary School,770.651.4700,434.0,31.0,0.0,16.0,45.0,39.0,0.0
826,Beulah Elementary School,648,Elementary School,770.651.3300,452.0,37.0,5.0,35.0,49.0,11.0,0.0
827,Turner Middle School,648,Middle School,770.651.5500,780.0,47.0,4.0,36.0,53.0,4.0,2.0
828,Lithia Springs Elementary School,648,Elementary School,770.651.4100,528.0,36.0,6.0,36.0,39.0,14.0,6.0
829,Chapel Hill Middle School,648,Middle School,770.651.5000,1187.0,72.0,6.0,40.0,31.0,15.0,7.0
830,Douglas County High School,648,High School,770.651.6500,1946.0,116.0,3.0,35.0,44.0,16.0,2.0
831,Mount Carmel Elementary School,648,Elementary School,770.651.4200,457.0,31.0,7.0,32.0,36.0,26.0,0.0
832,Stewart Middle School,648,Middle School,770.651.5400,603.0,37.0,5.0,46.0,30.0,19.0,0.0
833,Annette Winn Elementary School,648,Elementary School,770.651.3100,462.0,33.0,6.0,24.0,52.0,15.0,3.0
834,Early County Elementary School,649,Elementary School,229.723.4101,845.0,80.0,0.0,30.0,30.0,35.0,4.0
835,Early County Middle School,649,Middle School,229.723.3746,454.0,37.0,0.0,38.0,24.0,38.0,0.0
836,Early County High School,649,High School,229.723.3006,629.0,50.0,0.0,48.0,20.0,30.0,2.0
837,Echols County Elementary/Middle School,650,Elementary School,229.559.5413,598.0,44.0,2.0,34.0,46.0,16.0,2.0
838,Echols County High School,650,High School,229.559.5413,211.0,16.0,0.0,19.0,50.0,31.0,0.0
839,Springfield Elementary School,651,Elementary School,912.754.3326,619.0,55.0,2.0,40.0,31.0,26.0,2.0
840,Marlow Elementary School,651,Elementary School,912.728.3262,731.0,53.0,2.0,30.0,43.0,23.0,2.0
841,Blandford Elementary School,651,Elementary School,912.826.4200,669.0,52.0,6.0,21.0,46.0,27.0,0.0
842,South Effingham Elementary School,651,Elementary School,912.728.3801,801.0,49.0,4.0,29.0,37.0,27.0,4.0
843,Guyton Elementary School,651,Elementary School,912.772.3384,619.0,56.0,5.0,41.0,43.0,9.0,2.0
844,Sand Hill Elementary School,651,Elementary School,912.728.5112,620.0,52.0,4.0,29.0,40.0,25.0,2.0
845,South Effingham High School,651,High School,912.728.7511,1632.0,93.0,8.0,41.0,25.0,23.0,4.0
846,Ebenezer Middle School,651,Middle School,912.754.7757,982.0,65.0,2.0,31.0,37.0,29.0,2.0
847,Effingham County Middle School,651,Middle School,912.772.7001,982.0,73.0,10.0,38.0,36.0,14.0,3.0
848,Ebenezer Elementary School,651,Elementary School,912.754.5522,707.0,54.0,0.0,32.0,32.0,30.0,7.0
849,South Effingham Middle School,651,Middle School,912.728.7500,1048.0,71.0,4.0,24.0,45.0,24.0,3.0
850,Effingham County High School,651,High School,912.754.6404,1834.0,106.0,3.0,35.0,34.0,23.0,6.0
851,Rincon Elementary School,651,Elementary School,912.826.5523,871.0,64.0,5.0,39.0,36.0,17.0,3.0
852,Elbert County Middle School,652,Middle School,706.213.4200,930.0,57.0,2.0,28.0,40.0,26.0,4.0
854,Elbert County High School,652,High School,706.213.4100,802.0,58.0,7.0,28.0,36.0,22.0,7.0
855,Elbert County Primary School,652,Elementary School,706.213.4700,481.0,35.0,14.0,23.0,37.0,23.0,3.0
856,Elbert County Elementary School,652,Elementary School,706.213.4600,669.0,44.0,0.0,34.0,41.0,25.0,0.0
857,Twin City Elementary School,653,Elementary School,478.763.2253,542.0,36.0,0.0,31.0,33.0,28.0,8.0
858,Swainsboro High School,653,High School,478.237.2267,710.0,56.0,4.0,32.0,34.0,29.0,2.0
859,Swainsboro Middle School,653,Middle School,478.237.8047,734.0,50.0,12.0,40.0,24.0,22.0,2.0
860,Swainsboro Primary School,653,Elementary School,478.237.8302,672.0,59.0,9.0,34.0,27.0,27.0,3.0
861,Swainsboro Elementary School,653,Elementary School,478.237.7266,712.0,50.0,2.0,44.0,32.0,20.0,2.0
862,Emanuel County Institute,653,High School,478.763.2673,651.0,44.0,0.0,23.0,30.0,46.0,2.0
863,Claxton Elementary School,654,Elementary School,912.739.2714,887.0,63.0,18.0,40.0,29.0,8.0,6.0
864,Second Chance,654,Middle School,912.739.3993,27.0,2.0,0.0,0.0,50.0,50.0,0.0
865,Claxton High School,654,High School,912.739.3993,449.0,29.0,10.0,35.0,21.0,17.0,17.0
866,Claxton Middle School,654,Middle School,912.739.3646,419.0,22.0,5.0,41.0,27.0,27.0,0.0
867,Fannin County High School,655,High School,706.632.2081,918.0,65.0,2.0,19.0,49.0,26.0,3.0
868,Fannin County Middle School,655,Middle School,706.632.6100,724.0,57.0,2.0,33.0,30.0,30.0,5.0
869,East Fannin Elementary School,655,Elementary School,706.374.6418,373.0,32.0,0.0,28.0,34.0,28.0,9.0
870,West Fannin Elementary School,655,Elementary School,706.492.3644,480.0,38.0,5.0,18.0,32.0,34.0,11.0
871,Blue Ridge Elementary School,655,Elementary School,706.632.5772,424.0,42.0,2.0,36.0,29.0,29.0,5.0
872,Cleveland Elementary School,656,Elementary School,770.716.3905,440.0,42.0,7.0,29.0,38.0,26.0,0.0
873,Sara Harp Minter Elementary School,656,Elementary School,770.716.3910,746.0,51.0,4.0,26.0,43.0,26.0,2.0
874,Crabapple Lane Elementary School,656,Elementary School,770.487.5425,584.0,44.0,5.0,27.0,34.0,34.0,0.0
875,Whitewater High School,656,High School,770.460.3935,1428.0,95.0,0.0,26.0,43.0,23.0,7.0
876,Bennett's Mill Middle School,656,Middle School,770.716.3982,971.0,70.0,6.0,33.0,37.0,21.0,3.0
877,Inman Elementary,656,Elementary School,770.460.3565,653.0,46.0,2.0,26.0,39.0,24.0,9.0
878,Booth Middle School,656,Middle School,770.631.3240,1196.0,73.0,1.0,19.0,37.0,37.0,6.0
879,Huddleston Elementary School,656,Elementary School,770.631.3255,575.0,43.0,2.0,30.0,28.0,33.0,7.0
880,North Fayette Elementary School,656,Elementary School,770.460.3570,630.0,46.0,7.0,26.0,50.0,13.0,4.0
881,McIntosh High School,656,High School,770.631.3232,1748.0,97.0,6.0,31.0,34.0,25.0,4.0
882,Oak Grove Elementary School,656,Elementary School,770.631.3260,475.0,39.0,3.0,31.0,46.0,21.0,0.0
883,Braelinn Elementary School,656,Elementary School,770.631.5410,510.0,41.0,7.0,15.0,34.0,37.0,7.0
884,Sandy Creek High School,656,High School,770.969.2840,1127.0,91.0,3.0,32.0,42.0,20.0,3.0
885,Kedron Elementary School,656,Elementary School,770.486.2700,629.0,47.0,0.0,15.0,49.0,26.0,11.0
886,Starrs Mill High School,656,High School,770.486.2710,1385.0,90.0,2.0,16.0,41.0,34.0,7.0
887,Peeples Elementary School,656,Elementary School,770.486.2734,716.0,49.0,4.0,16.0,31.0,37.0,12.0
888,Robert J. Burch Elementary School,656,Elementary School,770.969.2820,540.0,44.0,2.0,30.0,25.0,32.0,11.0
889,Spring Hill Elementary School,656,Elementary School,770.460.3432,687.0,50.0,2.0,56.0,24.0,16.0,2.0
890,Rising Starr Middle School,656,Middle School,770.486.2721,947.0,67.0,0.0,21.0,42.0,28.0,9.0
891,Whitewater Middle School,656,Middle School,770.460.3450,871.0,65.0,3.0,20.0,42.0,29.0,6.0
892,Fayette County High School,656,High School,770.460.3540,1398.0,92.0,1.0,33.0,37.0,27.0,2.0
893,Fayetteville Elementary School,656,Elementary School,770.460.3560,445.0,34.0,0.0,41.0,35.0,21.0,3.0
894,Flat Rock Middle School,656,Middle School,770.969.2830,803.0,59.0,2.0,17.0,49.0,27.0,5.0
895,Peachtree City Elementary School,656,Elementary School,770.631.3250,469.0,35.0,6.0,14.0,40.0,37.0,3.0
896,Johnson Elementary,657,Elementary School,706.236.1830,497.0,36.0,0.0,28.0,39.0,33.0,0.0
897,Coosa Middle School,657,Middle School,706.236.1856,593.0,40.0,10.0,33.0,28.0,28.0,3.0
898,Pepperell High School,657,High School,706.236.1844,880.0,52.0,8.0,35.0,27.0,29.0,2.0
899,Model High,657,High School,706.236.1895,690.0,39.0,3.0,26.0,41.0,31.0,0.0
900,Model Elementary School,657,Elementary School,706.236.1827,481.0,33.0,0.0,21.0,30.0,49.0,0.0
901,Armuchee Elementary School,657,Elementary School,706.802.6758,417.0,28.0,0.0,21.0,43.0,36.0,0.0
902,Pepperell Elementary,657,Elementary School,706.290.8527,581.0,37.0,5.0,24.0,46.0,22.0,3.0
903,Model Middle School,657,Middle School,706.290.8150,574.0,35.0,0.0,17.0,37.0,40.0,6.0
904,Pepperell Middle School,657,Middle School,706.236.1849,686.0,49.0,10.0,37.0,31.0,20.0,2.0
905,Armuchee Middle School,657,Middle School,706.378.7924,422.0,30.0,3.0,23.0,50.0,20.0,3.0
906,Armuchee High School,657,High School,706.236.1888,523.0,34.0,0.0,29.0,41.0,29.0,0.0
907,Alto Park Elementary School,657,Elementary School,706.236.1892,403.0,33.0,3.0,30.0,42.0,21.0,3.0
908,Garden Lakes Elementary School,657,Elementary School,706.236.1865,607.0,42.0,0.0,41.0,31.0,24.0,5.0
909,Cave Spring Elementary School,657,Elementary School,706.777.3371,241.0,17.0,6.0,35.0,35.0,24.0,0.0
910,Glenwood Primary School,657,Elementary School,706.236.1855,389.0,31.0,3.0,36.0,29.0,26.0,7.0
911,Pepperell Primary,657,Elementary School,706.236.1835,416.0,34.0,0.0,35.0,29.0,35.0,0.0
912,Coosa High School,657,High School,706.236.1870,720.0,46.0,4.0,28.0,24.0,35.0,9.0
913,Settles Bridge Elementary School,658,Elementary School,770.887.1883,1034.0,64.0,6.0,39.0,34.0,17.0,3.0
914,Matt Elementary School,658,Elementary School,678.455.4500,1206.0,78.0,3.0,32.0,28.0,35.0,3.0
915,Cumming Elementary School,658,Elementary School,770.887.7749,930.0,83.0,5.0,34.0,42.0,13.0,6.0
916,Sharon Elementary School,658,Elementary School,770.888.7511,933.0,56.0,2.0,27.0,48.0,23.0,0.0
917,Riverwatch Middle School,658,Middle School,678.455.7311,1478.0,81.0,6.0,28.0,52.0,9.0,5.0
918,Shiloh Point Elementary,658,Elementary School,678.341.6481,1284.0,85.0,5.0,28.0,47.0,20.0,0.0
919,West Forsyth High School,658,High School,770.888.3470,2561.0,140.0,6.0,25.0,41.0,24.0,4.0
920,Johns Creek Elementary,658,Elementary School,678.965.5041,1008.0,60.0,7.0,43.0,37.0,12.0,2.0
921,Mashburn Elementary School,658,Elementary School,770.889.1630,681.0,50.0,10.0,26.0,44.0,20.0,0.0
922,Coal Mountain Elementary School,658,Elementary School,770.887.7705,748.0,54.0,0.0,28.0,50.0,20.0,2.0
923,South Forsyth High School,658,High School,770.781.2264,2600.0,147.0,1.0,33.0,44.0,20.0,3.0
924,Chattahoochee Elementary School,658,Elementary School,770.781.2240,792.0,57.0,5.0,37.0,33.0,23.0,2.0
925,North Forsyth High School,658,High School,770.781.6637,2539.0,143.0,2.0,29.0,39.0,27.0,4.0
926,Daves Creek Elementary School,658,Elementary School,770.888.1222,1203.0,73.0,6.0,26.0,51.0,15.0,3.0
927,Vickery Creek Elementary School,658,Elementary School,770.346.0040,1222.0,71.0,1.0,47.0,32.0,18.0,1.0
928,Vickery Creek Middle School,658,Middle School,770.667.2580,1241.0,67.0,0.0,25.0,45.0,25.0,5.0
929,Otwell Middle School,658,Middle School,770.887.5248,1342.0,100.0,7.0,31.0,42.0,17.0,3.0
930,Sawnee Elementary School,658,Elementary School,770.887.6161,1423.0,90.0,4.0,32.0,43.0,16.0,4.0
931,Chestatee Elementary,658,Elementary School,770.887.2341,1224.0,78.0,3.0,30.0,47.0,19.0,1.0
932,Little Mill Middle School,658,Middle School,678.965.5000,897.0,58.0,2.0,36.0,43.0,16.0,3.0
933,Brookwood Elementary,658,Elementary School,678.965.5060,1047.0,62.0,5.0,27.0,52.0,15.0,2.0
934,George W. Whitlow Elementary,658,Elementary School,678.965.5090,1314.0,91.0,8.0,41.0,36.0,12.0,3.0
935,Lambert High School,658,High School,678.965.5050,2988.0,156.0,4.0,32.0,46.0,17.0,1.0
936,Haw Creek Elementary,658,Elementary School,678.965.5070,1038.0,68.0,9.0,28.0,50.0,13.0,0.0
937,Lakeside Middle School,658,Middle School,678.455.7311,1236.0,69.0,1.0,32.0,51.0,10.0,6.0
938,Liberty Middle School,658,Middle School,770.781.4889,1180.0,69.0,4.0,42.0,38.0,12.0,4.0
939,Silver City Elementary School,658,Elementary School,678.965.5020,1078.0,70.0,1.0,31.0,46.0,17.0,4.0
940,Kelly Mill Elementary,658,Elementary School,770.887.2461,1151.0,73.0,0.0,40.0,45.0,15.0,0.0
941,Piney Grove Middle School,658,Middle School,678.965.5010,1000.0,63.0,13.0,29.0,35.0,22.0,2.0
942,North Forsyth Middle School,658,Middle School,770.889.0743,1176.0,68.0,2.0,25.0,43.0,29.0,2.0
943,South Forsyth Middle School,658,Middle School,770.888.3170,1302.0,74.0,1.0,42.0,41.0,16.0,0.0
944,Brandywine Elementary School,658,Elementary School,770.887.2461,1187.0,76.0,3.0,29.0,43.0,21.0,4.0
945,DeSana Middle School,658,Middle School,770.887.2461,924.0,55.0,4.0,44.0,35.0,16.0,2.0
946,Alliance Academy for Innovation,658,High School,470.695.7823,496.0,33.0,6.0,30.0,55.0,9.0,0.0
947,Denmark High School,658,High School,470.533.2521,1335.0,83.0,6.0,37.0,45.0,12.0,0.0
948,Big Creek Elementary School,658,Elementary School,770.887.4584,726.0,52.0,2.0,52.0,35.0,10.0,2.0
949,Midway Elementary School,658,Elementary School,770.475.6670,694.0,49.0,6.0,41.0,33.0,20.0,0.0
950,Forsyth Central High School,658,High School,770.887.8151,2551.0,152.0,3.0,34.0,34.0,24.0,5.0
951,Franklin County Middle School,659,Middle School,706.384.4581,859.0,59.0,2.0,25.0,32.0,37.0,3.0
952,Carnesville Elementary Intermediate School,659,Elementary School,706.384.7326,258.0,24.0,0.0,25.0,38.0,33.0,4.0
953,Royston Elementary School,659,Elementary School,706.245.9252,522.0,40.0,5.0,30.0,35.0,18.0,13.0
954,Carnesville Elementary Primary School,659,Elementary School,706.384.4523,271.0,27.0,0.0,33.0,22.0,37.0,7.0
955,Franklin County High School,659,High School,706.384.4525,1068.0,70.0,3.0,33.0,29.0,29.0,7.0
956,Lavonia Elementary School,659,Elementary School,706.356.8209,592.0,44.0,9.0,32.0,34.0,23.0,2.0
957,Summit Hill Elementary,660,Elementary School,470.254.2830,717.0,48.0,4.0,38.0,38.0,21.0,0.0
958,Abbotts Hill Elementary School,660,Elementary School,470.254.2860,613.0,45.0,4.0,47.0,31.0,11.0,7.0
959,Creek View Elementary School,660,Elementary School,470.254.2932,924.0,57.0,12.0,40.0,25.0,18.0,5.0
960,Hembree Springs Elementary School,660,Elementary School,470.254.2902,567.0,52.0,0.0,39.0,44.0,15.0,2.0
961,Spalding Drive Elementary,660,Elementary School,470.254.5880,376.0,36.0,11.0,56.0,22.0,11.0,0.0
962,Hopewell Middle School,660,Middle School,470.254.3240,1427.0,107.0,7.0,42.0,35.0,13.0,4.0
963,Milton High School,660,High School,470.254.7000,2367.0,130.0,2.0,38.0,34.0,23.0,3.0
964,Renaissance Middle School,660,Middle School,470.254.4330,1298.0,85.0,7.0,48.0,31.0,12.0,2.0
965,Renaissance ES,660,Elementary School,470.254.4320,581.0,47.0,6.0,43.0,34.0,13.0,4.0
966,Feldwood Elementary School,660,Elementary School,470.254.2001,722.0,55.0,9.0,42.0,31.0,13.0,6.0
967,Main Street Charter Academy,660,Elementary School,404.668.0261,841.0,40.0,23.0,55.0,18.0,5.0,0.0
968,Hapeville Charter Career Academy,660,High School,404.766.0101,564.0,33.0,18.0,82.0,0.0,0.0,0.0
969,Cambridge High School,660,High School,470.254.2883,2054.0,114.0,4.0,47.0,28.0,20.0,1.0
970,Jackson Elementary School,660,Elementary School,770.594.5290,596.0,57.0,12.0,60.0,23.0,4.0,2.0
971,Banneker High School,660,High School,470.254.3410,1572.0,114.0,9.0,50.0,21.0,13.0,7.0
972,Dolvin Elementary School,660,Elementary School,470.254.7020,805.0,53.0,2.0,45.0,34.0,15.0,4.0
973,Crabapple Middle School,660,Middle School,470.254.4520,932.0,67.0,6.0,49.0,27.0,18.0,0.0
974,Camp Creek Middle School,660,Middle School,470.254.8030,590.0,51.0,4.0,39.0,41.0,16.0,0.0
975,Barnwell Elementary School,660,Elementary School,470.254.4960,697.0,57.0,5.0,42.0,32.0,19.0,2.0
976,McNair Middle School,660,Middle School,470.254.4160,833.0,58.0,10.0,38.0,40.0,10.0,2.0
977,Lake Windward Elementary School,660,Elementary School,470.254.7050,736.0,66.0,6.0,47.0,33.0,11.0,3.0
978,Roswell High School,660,High School,470.254.4500,2221.0,134.0,8.0,28.0,43.0,19.0,2.0
979,Hapeville Elementary School,660,Elementary School,470.254.8220,580.0,56.0,2.0,46.0,32.0,16.0,4.0
980,Crabapple Crossing Elementary School,660,Elementary School,470.254.7055,766.0,52.0,8.0,50.0,27.0,15.0,0.0
